11:47:52.778 INFO  [main] [net](TronNetService.java:193) Local ipv6: null
11:47:52.815 INFO  [DiscoverServer] [net](DiscoverServer.java:74) Discovery server started, bind port 18888
11:47:52.819 INFO  [PeerServer] [net](PeerServer.java:60) TCP listener started, bind port 18888
11:47:52.823 INFO  [main] [net](PublishService.java:108) Dns publish service is disable
11:47:52.825 INFO  [main] [net](P2pService.java:32) P2p service started
11:47:52.832 INFO  [main] [net](RelayService.java:79) Fast forward config, isWitness: false, keySize: 0, fastForwardNodes: 2
11:47:52.832 INFO  [main] [net](EffectiveCheckService.java:59) EffectiveCheckService is disabled
11:47:52.832 INFO  [main] [net](TronNetService.java:98) Net service start successfully
11:47:52.832 WARN  [main] [app](LocalWitnesses.java:104) PrivateKey is null.
11:47:52.833 WARN  [main] [consensus](ConsensusService.java:73) Witness 41dcc703c0e500b653ca82273b7bfad8045d85a470 is not in witnessStore.
11:47:52.843 INFO  [main] [consensus](ConsensusService.java:84) consensus service start success
11:47:53.024 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /54.153.59.116:18888
11:47:53.033 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /54.153.94.160:18888
11:47:53.033 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /54.177.115.127:18888
11:47:53.035 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /52.53.189.99:18888
11:47:53.036 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /34.220.77.106:18888
11:47:53.037 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /15.207.144.3:18888
11:47:53.040 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /52.15.93.92:18888
11:47:53.041 INFO  [connPool] [net](ConnPoolService.java:194) Connect to peer /18.210.241.149:18888
11:47:53.134 INFO  [peerClient-8] [net](Channel.java:140) Send message to channel /18.210.241.149:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073043
version: 1

11:47:53.142 INFO  [peerClient-7] [net](Channel.java:140) Send message to channel /52.15.93.92:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073042
version: 1

11:47:53.174 INFO  [peerClient-6] [net](Channel.java:140) Send message to channel /15.207.144.3:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073040
version: 1

11:47:53.181 INFO  [peerClient-5] [net](Channel.java:140) Send message to channel /34.220.77.106:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073038
version: 1

11:47:53.194 INFO  [peerClient-4] [net](Channel.java:140) Send message to channel /52.53.189.99:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073036
version: 1

11:47:53.194 INFO  [peerClient-1] [net](Channel.java:140) Send message to channel /54.153.59.116:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073032
version: 1

11:47:53.194 INFO  [peerClient-3] [net](Channel.java:140) Send message to channel /54.177.115.127:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073035
version: 1

11:47:53.194 INFO  [peerClient-2] [net](Channel.java:140) Send message to channel /54.153.94.160:18888, [HelloMessage: from {
  address: "45.120.177.62"
  port: 18888
  nodeId: "\253\336;J%l\371\037\364\271i\256\361\261dq\342\312\340\303\345O~\304\333\364\271f\031a\020\017\347\353\233[\375\221\301\002\362\276#0P\'\325\2374<hu*\213\277\371\037\027f\374RW\002\""
}
network_id: 11111
timestamp: 1727092073034
version: 1

11:47:53.230 INFO  [peerClient-8] [net](ChannelManager.java:214) Receive message from channel: /18.210.241.149:18888, [HelloMessage: from {
  address: "18.210.241.149"
  port: 18888
